BlockSize	cpblk	memcpy	Array.Copy	CustomCopy	Marshal.Copy
4	146	458	85	502	81
8	294	843	168	1167	167
16	587	1628	306	2038	327
32	950	1876	631	3298	558
64	1451	3316	1205	4705	1059
128	2245	5161	2176	5925	1933
256	4353	7032	3699	6881	3386
512	8205	13617	5663	6956	6666
1024	13617	20000	7710	7441	12075
2048	18823	24615	9142	7710	16842
4096	2922	7529	10491	5981	7032
8192	2990	7804	11228	6037	7441
16384	2857	7901	9142	6037	7619
32768	2379	6736	8101	5663	6666
65536	2379	6808	8205	5663	6808
131072	2509	17777	8101	6037	17777
262144	2500	11636	7032	5765	11428
524288	2539	11428	7111	5765	11428
1048576	2539	11428	7032	5714	11428
2097152	2529	11428	7032	5714	11034
